trialType,task1,task2,participant,age,scriptDate,startTime,endTime,refreshRate,fixationFrames,fixationS,trialNo,blockType,task,targetFrames,targetS,blockNumber,elapsedTime,resp,choice,rt,iti,responseTTL,overallTrialNum,keypress,acc,creditsEarned,dotMotion_effortLevel,dotMotion_nDots,dotMotion_coherence,dotMotion_dotFrames,dotMotion_speed,dotMotion_dotDirections,dotMotion_resp,dotMotion_rt,dotMotion_acc
1_2,1,2,1,17,151018,2018-10-17-11-15-42,2018-10-17-11-19-18,60,90,1.5,1,dotMotionDST,dotMotionDST,180,10800,1,216.37647577,left,1.0,0.617879715748,0.6,250.0,1,left,1,0,1.0,100.0,0.05,3.0,0.01,180.0,up,2.11827462306,0.0
1_2,1,2,1,17,151018,2018-10-17-11-15-42,2018-10-17-11-19-26,60,90,1.5,2,dotMotionDST,dotMotionDST,180,10800,1,224.01061823,right,2.0,0.434657412115,0.7,251.0,2,right,1,0,2.0,500.0,0.05,3.0,0.01,270.0,down,1.73748983862,1.0
0_2,0,2,1,17,151018,2018-10-17-11-15-42,2018-10-17-11-19-34,60,90,1.5,3,dotMotionDST,dotMotionDST,180,10800,1,231.526988444,right,2.0,0.501158737577,0.45,251.0,3,right,1,0,2.0,500.0,0.05,3.0,0.01,0.0,right,1.74606135162,1.0
0_2,0,2,1,17,151018,2018-10-17-11-15-42,2018-10-17-11-19-41,60,90,1.5,4,dotMotionDST,dotMotionDST,180,10800,1,239.24342532,left,0.0,0.818367591593,0.5,250.0,4,left,1,0,0.0,10.0,0.05,3.0,0.01,0.0,right,0.917688260786,1.0
0_1,0,1,1,17,151018,2018-10-17-11-15-42,2018-10-17-11-19-48,60,90,1.5,5,dotMotionDST,dotMotionDST,180,10800,1,245.992884929,left,0.0,0.76760482043,0.5,250.0,5,left,1,0,0.0,10.0,0.05,3.0,0.01,180.0,left,1.58419196028,1.0
1_2,1,2,1,17,151018,2018-10-17-11-15-42,2018-10-17-11-19-56,60,90,1.5,6,dotMotionDST,dotMotionDST,180,10800,1,253.809899056,right,2.0,0.867082041223,0.7,251.0,6,right,1,0,2.0,500.0,0.05,3.0,0.01,180.0,down,1.33646179596,0.0
0_1,0,1,1,17,151018,2018-10-17-11-15-42,2018-10-17-11-20-03,60,90,1.5,7,dotMotionDST,dotMotionDST,180,10800,1,260.993587165,right,1.0,0.867485289462,0.45,251.0,7,right,1,0,1.0,100.0,0.05,3.0,0.01,180.0,right,1.95053551486,0.0
0_2,0,2,1,17,151018,2018-10-17-11-15-42,2018-10-17-11-20-11,60,90,1.5,8,dotMotionDST,dotMotionDST,180,10800,1,268.759491092,left,0.0,0.599897471722,0.85,250.0,8,left,1,0,0.0,10.0,0.05,3.0,0.01,0.0,right,0.801643212792,1.0
0_1,0,1,1,17,151018,2018-10-17-11-15-42,2018-10-17-11-20-17,60,90,1.5,9,dotMotionDST,dotMotionDST,180,10800,1,275.359712574,left,0.0,0.784500828478,0.45,250.0,9,left,1,0,0.0,10.0,0.05,3.0,0.01,180.0,left,1.65137499012,1.0
0_1,0,1,1,17,151018,2018-10-17-11-15-42,2018-10-17-11-20-25,60,90,1.5,10,dotMotionDST,dotMotionDST,180,10800,1,282.576988989,left,0.0,0.551512806676,0.5,250.0,10,left,1,0,0.0,10.0,0.05,3.0,0.01,90.0,left,1.90075760614,0.0
0_2,0,2,1,17,151018,2018-10-17-11-15-42,2018-10-17-11-20-32,60,90,1.5,11,dotMotionDST,dotMotionDST,180,10800,1,289.793169865,left,0.0,0.350772780366,0.5,250.0,11,left,1,0,0.0,10.0,0.05,3.0,0.01,180.0,left,0.850604359526,1.0
0_1,0,1,1,17,151018,2018-10-17-11-15-42,2018-10-17-11-20-38,60,90,1.5,12,dotMotionDST,dotMotionDST,180,10800,1,296.34336995,left,0.0,0.684017893393,0.6,250.0,12,left,1,0,0.0,10.0,0.05,3.0,0.01,180.0,left,0.751260271296,1.0
0_2,0,2,1,17,151018,2018-10-17-11-15-42,2018-10-17-11-20-45,60,90,1.5,13,dotMotionDST,dotMotionDST,180,10800,1,302.776326469,left,0.0,0.617924307473,0.75,250.0,13,left,1,0,0.0,10.0,0.05,3.0,0.01,270.0,down,0.884616125375,1.0
1_2,1,2,1,17,151018,2018-10-17-11-15-42,2018-10-17-11-20-52,60,90,1.5,14,dotMotionDST,dotMotionDST,180,10800,1,309.559853342,left,1.0,0.833894095849,0.4,250.0,14,left,1,0,1.0,100.0,0.05,3.0,0.01,270.0,down,1.16872621654,1.0
0_1,0,1,1,17,151018,2018-10-17-11-15-42,2018-10-17-11-20-58,60,90,1.5,15,dotMotionDST,dotMotionDST,180,10800,1,316.426849729,right,1.0,0.384472726379,0.75,251.0,15,right,1,0,1.0,100.0,0.05,3.0,0.01,270.0,down,1.31767433835,1.0
0_1,0,1,1,17,151018,2018-10-17-11-15-42,2018-10-17-11-21-06,60,90,1.5,16,dotMotionDST,dotMotionDST,180,10800,1,324.227071467,left,0.0,1.01730053965,0.4,250.0,16,left,1,0,0.0,10.0,0.05,3.0,0.01,0.0,right,1.2179465713,1.0
0_1,0,1,1,17,151018,2018-10-17-11-15-42,2018-10-17-11-21-13,60,90,1.5,17,dotMotionDST,dotMotionDST,180,10800,1,331.259806441,left,0.0,0.600251636934,0.9,250.0,17,left,1,0,0.0,10.0,0.05,3.0,0.01,270.0,down,1.03481633775,1.0
0_2,0,2,1,17,151018,2018-10-17-11-15-42,2018-10-17-11-21-20,60,90,1.5,18,dotMotionDST,dotMotionDST,180,10800,1,338.209446597,left,0.0,0.601297772955,0.5,250.0,18,left,1,0,0.0,10.0,0.05,3.0,0.01,180.0,left,0.751207339112,1.0
1_2,1,2,1,17,151018,2018-10-17-11-15-42,2018-10-17-11-21-27,60,90,1.5,19,dotMotionDST,dotMotionDST,180,10800,1,344.876530948,left,1.0,0.90130553674,0.6,250.0,19,left,1,0,1.0,100.0,0.05,3.0,0.01,90.0,down,1.20105152531,0.0
