trialType,task1,task2,participant,age,scriptDate,startTime,endTime,refreshRate,fixationFrames,fixationS,trialNo,blockType,task,targetFrames,targetS,blockNumber,elapsedTime,resp,choice,rt,iti,responseTTL,overallTrialNum,keypress,acc,creditsEarned,dotMotion_effortLevel,dotMotion_nDots,dotMotion_coherence,dotMotion_dotFrames,dotMotion_speed,dotMotion_dotDirections,dotMotion_resp,dotMotion_rt,dotMotion_acc
1_2,1,2,4,20,151018,2018-10-18-15-22-46,2018-10-18-15-28-18,60,90,1.5,1,dotMotionDST,dotMotionDST,180,10800,1,331.9975459575653,right,2.0,0.7701680660247803,0.65,251.0,1,right,1,0,2.0,500.0,0.05,3.0,0.01,270.0,up,3.2350878715515137,0.0
0_1,1,0,4,20,151018,2018-10-18-15-22-46,2018-10-18-15-28-27,60,90,1.5,2,dotMotionDST,dotMotionDST,180,10800,1,341.2996919155121,left,1.0,0.85406494140625,0.6,251.0,2,left,1,0,1.0,100.0,0.05,3.0,0.01,180.0,right,1.3359460830688477,0.0
0_1,1,0,4,20,151018,2018-10-18-15-22-46,2018-10-18-15-28-34,60,90,1.5,3,dotMotionDST,dotMotionDST,180,10800,1,348.1489999294281,right,0.0,0.4036431312561035,0.65,250.0,3,right,1,0,0.0,10.0,0.05,3.0,0.01,270.0,right,0.7515151500701904,0.0
0_2,2,0,4,20,151018,2018-10-18-15-22-46,2018-10-18-15-28-41,60,90,1.5,4,dotMotionDST,dotMotionDST,180,10800,1,354.7333769798279,right,0.0,0.7843599319458008,0.8,250.0,4,right,1,0,0.0,10.0,0.05,3.0,0.01,270.0,right,2.086230993270874,0.0
0_2,2,0,4,20,151018,2018-10-18-15-22-46,2018-10-18-15-28-49,60,90,1.5,5,dotMotionDST,dotMotionDST,180,10800,1,362.53402304649353,right,0.0,0.5539829730987549,0.5,250.0,5,right,1,0,0.0,10.0,0.05,3.0,0.01,90.0,left,1.1875767707824707,0.0
1_2,1,2,4,20,151018,2018-10-18-15-22-46,2018-10-18-15-28-56,60,90,1.5,6,dotMotionDST,dotMotionDST,180,10800,1,370.15025305747986,left,1.0,1.1518669128417969,0.85,250.0,6,left,1,0,1.0,100.0,0.05,3.0,0.01,270.0,left,2.8684921264648438,0.0
0_1,1,0,4,20,151018,2018-10-18-15-22-46,2018-10-18-15-29-06,60,90,1.5,7,dotMotionDST,dotMotionDST,180,10800,1,379.5181839466095,right,0.0,1.3840489387512207,0.7,250.0,7,right,1,0,0.0,10.0,0.05,3.0,0.01,90.0,left,2.3694911003112793,0.0
1_2,1,2,4,20,151018,2018-10-18-15-22-46,2018-10-18-15-29-14,60,90,1.5,8,dotMotionDST,dotMotionDST,180,10800,1,387.81863498687744,left,1.0,0.8198778629302979,0.4,250.0,8,left,1,0,1.0,100.0,0.05,3.0,0.01,180.0,down,1.7014861106872559,0.0
0_2,2,0,4,20,151018,2018-10-18-15-22-46,2018-10-18-15-29-22,60,90,1.5,9,dotMotionDST,dotMotionDST,180,10800,1,395.63728499412537,right,0.0,0.6179280281066895,0.4,250.0,9,right,1,0,0.0,10.0,0.05,3.0,0.01,90.0,up,1.216912031173706,1.0
1_2,1,2,4,20,151018,2018-10-18-15-22-46,2018-10-18-15-29-29,60,90,1.5,10,dotMotionDST,dotMotionDST,180,10800,1,402.95455503463745,left,1.0,0.6375689506530762,0.9,250.0,10,left,1,0,1.0,100.0,0.05,3.0,0.01,270.0,right,2.287320852279663,0.0
0_1,1,0,4,20,151018,2018-10-18-15-22-46,2018-10-18-15-29-37,60,90,1.5,11,dotMotionDST,dotMotionDST,180,10800,1,410.98916602134705,right,0.0,0.5879709720611572,0.6,250.0,11,right,1,0,0.0,10.0,0.05,3.0,0.01,0.0,down,2.1183769702911377,0.0
1_2,1,2,4,20,151018,2018-10-18-15-22-46,2018-10-18-15-29-45,60,90,1.5,12,dotMotionDST,dotMotionDST,180,10800,1,418.85579895973206,left,1.0,0.6347899436950684,0.65,250.0,12,left,1,0,1.0,100.0,0.05,3.0,0.01,180.0,up,2.8530080318450928,0.0
0_1,1,0,4,20,151018,2018-10-18-15-22-46,2018-10-18-15-29-54,60,90,1.5,13,dotMotionDST,dotMotionDST,180,10800,1,427.4894459247589,right,0.0,0.6679260730743408,0.45,250.0,13,right,1,0,0.0,10.0,0.05,3.0,0.01,180.0,,,0.0
0_1,1,0,4,20,151018,2018-10-18-15-22-46,2018-10-18-15-30-02,60,90,1.5,14,dotMotionDST,dotMotionDST,180,10800,1,436.25762605667114,right,0.0,0.553441047668457,0.85,250.0,14,right,1,0,0.0,10.0,0.05,3.0,0.01,270.0,right,1.7331318855285645,0.0
1_2,1,2,4,20,151018,2018-10-18-15-22-46,2018-10-18-15-30-10,60,90,1.5,15,dotMotionDST,dotMotionDST,180,10800,1,443.62562108039856,right,2.0,0.5844581127166748,0.8,251.0,15,right,1,0,2.0,500.0,0.05,3.0,0.01,180.0,down,3.0865399837493896,0.0
1_2,1,2,4,20,151018,2018-10-18-15-22-46,2018-10-18-15-30-19,60,90,1.5,16,dotMotionDST,dotMotionDST,180,10800,1,452.84333300590515,left,1.0,0.6024599075317383,0.6,250.0,16,left,1,0,1.0,100.0,0.05,3.0,0.01,270.0,up,2.8676700592041016,0.0
0_2,2,0,4,20,151018,2018-10-18-15-22-46,2018-10-18-15-30-28,60,90,1.5,17,dotMotionDST,dotMotionDST,180,10800,1,461.87654089927673,right,0.0,0.8160579204559326,0.8,250.0,17,right,1,0,0.0,10.0,0.05,3.0,0.01,0.0,right,2.7016279697418213,1.0
0_2,2,0,4,20,151018,2018-10-18-15-22-46,2018-10-18-15-30-36,60,90,1.5,18,dotMotionDST,dotMotionDST,180,10800,1,470.2783000469208,right,0.0,0.43700218200683594,0.7,250.0,18,right,1,0,0.0,10.0,0.05,3.0,0.01,270.0,,,0.0
