effortLevel,nDots,coherence,dotFrames,speed,dotDirections,participant,age,scriptDate,startTime,endTime,refreshRate,fixationFrames,fixationS,trialNo,blockType,task,targetFrames,targetS,blockNumber,elapsedTime,resp,rt,iti,responseTTL,overallTrialNum,keypress,acc,creditsEarned,ratingConfidence_questionText,ratingConfidence_resp,ratingConfidence_rt,ratingEffort_questionText,ratingEffort_resp,ratingEffort_rt
2,500,0.05,3,0.01,270,57,27,151018,2018-10-18-11-14-00,2018-10-18-11-15-10,60,90,1.5,1,dotMotionForced,dotMotionForced,180,10800,1,70.3009901,,,0.45,,1,,0,0,,,,,,
1,100,0.05,3,0.01,270,57,27,151018,2018-10-18-11-14-00,2018-10-18-11-15-15,60,90,1.5,2,dotMotionForced,dotMotionForced,180,10800,1,75.13396096,up,1.818489075,0.4,250,2,up,0,0,How confident are you?,5,1.903409004,How much effort did it require?,3,1.939293146
1,100,0.05,3,0.01,270,57,27,151018,2018-10-18-11-14-00,2018-10-18-11-15-26,60,90,1.5,3,dotMotionForced,dotMotionForced,180,10800,1,86.41912007,,,0.9,,1,,0,0,,,,,,
1,100,0.05,3,0.01,0,57,27,151018,2018-10-18-11-14-00,2018-10-18-11-15-31,60,90,1.5,4,dotMotionForced,dotMotionForced,180,10800,1,91.66934395,up,1.817188025,0.65,250,1,up,0,0,How confident are you?,3,1.752217054,How much effort did it require?,7,2.039963007
2,500,0.05,3,0.01,270,57,27,151018,2018-10-18-11-14-00,2018-10-18-11-15-42,60,90,1.5,5,dotMotionForced,dotMotionForced,180,10800,1,102.4195721,up,2.083950996,0.75,250,1,up,0,0,How confident are you?,5,1.118769884,How much effort did it require?,9,3.017910004
0,10,0.05,3,0.01,270,57,27,151018,2018-10-18-11-14-00,2018-10-18-11-15-54,60,90,1.5,6,dotMotionForced,dotMotionForced,180,10800,1,114.2712011,,,0.7,,1,,0,0,,,,,,
2,500,0.05,3,0.01,180,57,27,151018,2018-10-18-11-14-00,2018-10-18-11-15-59,60,90,1.5,7,dotMotionForced,dotMotionForced,180,10800,1,119.2721159,left,1.750593901,0.5,251,1,left,1,0,How confident are you?,3,1.104794025,How much effort did it require?,6,1.251708984
2,500,0.05,3,0.01,90,57,27,151018,2018-10-18-11-14-00,2018-10-18-11-16-08,60,90,1.5,8,dotMotionForced,dotMotionForced,180,10800,1,128.3729181,down,1.95074892,0.6,250,1,down,0,0,How confident are you?,6,1.42066884,How much effort did it require?,8,1.518006802
1,100,0.05,3,0.01,90,57,27,151018,2018-10-18-11-14-00,2018-10-18-11-16-18,60,90,1.5,9,dotMotionForced,dotMotionForced,180,10800,1,137.9229481,left,2.019016027,0.45,250,1,left,0,0,How confident are you?,4,1.784124136,How much effort did it require?,7,1.602967978
0,10,0.05,3,0.01,180,57,27,151018,2018-10-18-11-14-00,2018-10-18-11-16-27,60,90,1.5,10,dotMotionForced,dotMotionForced,180,10800,1,147.4741971,left,1.517977953,0.75,251,1,left,1,0,How confident are you?,6,1.886363983,How much effort did it require?,5,3.01619792
1,100,0.05,3,0.01,180,57,27,151018,2018-10-18-11-14-00,2018-10-18-11-16-39,60,90,1.5,11,dotMotionForced,dotMotionForced,180,10800,1,159.6425891,right,2.385332823,0.4,250,1,right,0,0,How confident are you?,5,1.635895014,How much effort did it require?,6,1.688344002
0,10,0.05,3,0.01,0,57,27,151018,2018-10-18-11-14-00,2018-10-18-11-16-49,60,90,1.5,12,dotMotionForced,dotMotionForced,180,10800,1,169.643091,right,2.318596125,0.7,251,1,right,1,0,How confident are you?,5,3.405858994,How much effort did it require?,6,1.220776081
0,10,0.05,3,0.01,270,57,27,151018,2018-10-18-11-14-00,2018-10-18-11-17-01,60,90,1.5,13,dotMotionForced,dotMotionForced,180,10800,1,181.127455,right,2.001240969,0.5,250,1,right,0,0,How confident are you?,5,0.818482161,How much effort did it require?,6,0.339709044
0,10,0.05,3,0.01,0,57,27,151018,2018-10-18-11-14-00,2018-10-18-11-17-08,60,90,1.5,14,dotMotionForced,dotMotionForced,180,10800,1,188.312978,right,1.200910807,0.55,251,1,right,1,0,How confident are you?,5,1.83671093,How much effort did it require?,5,1.800225973
2,500,0.05,3,0.01,0,57,27,151018,2018-10-18-11-14-00,2018-10-18-11-17-19,60,90,1.5,15,dotMotionForced,dotMotionForced,180,10800,1,199.379271,right,2.816990852,0.45,251,1,right,1,0,How confident are you?,2,1.869513035,How much effort did it require?,5,1.217759132
