trialType,task1,task2,participant,age,scriptDate,startTime,endTime,refreshRate,fixationFrames,fixationS,trialNo,blockType,task,targetFrames,targetS,blockNumber,elapsedTime,resp,choice,rt,iti,responseTTL,overallTrialNum,keypress,acc,creditsEarned,dotMotion_effortLevel,dotMotion_nDots,dotMotion_coherence,dotMotion_dotFrames,dotMotion_speed,dotMotion_dotDirections,dotMotion_resp,dotMotion_rt,dotMotion_acc
0_1,1,0,8,45,151018,2018-10-18-17-38-09,2018-10-18-17-43-16,60,90,1.5,1,dotMotionDST,dotMotionDST,180,10800,1,307.49993896484375,left,1.0,0.718433141708374,0.5,251.0,1,left,1,0,1.0,100.0,0.05,3.0,0.01,180.0,left,1.6834921836853027,1.0
0_1,1,0,8,45,151018,2018-10-18-17-38-09,2018-10-18-17-43-24,60,90,1.5,2,dotMotionDST,dotMotionDST,180,10800,1,315.3000638484955,left,1.0,0.8858919143676758,0.45,251.0,2,left,1,0,1.0,100.0,0.05,3.0,0.01,0.0,right,2.752471923828125,1.0
0_1,1,0,8,45,151018,2018-10-18-17-38-09,2018-10-18-17-43-33,60,90,1.5,3,dotMotionDST,dotMotionDST,180,10800,1,323.98426580429077,left,1.0,0.6191959381103516,0.45,251.0,3,left,1,0,1.0,100.0,0.05,3.0,0.01,90.0,up,2.018570899963379,1.0
1_2,1,2,8,45,151018,2018-10-18-17-38-09,2018-10-18-17-43-41,60,90,1.5,4,dotMotionDST,dotMotionDST,180,10800,1,332.3029839992523,right,2.0,1.2874751091003418,0.45,251.0,4,right,1,0,2.0,500.0,0.05,3.0,0.01,90.0,up,2.9849560260772705,1.0
1_2,1,2,8,45,151018,2018-10-18-17-38-09,2018-10-18-17-43-50,60,90,1.5,5,dotMotionDST,dotMotionDST,180,10800,1,341.57039284706116,right,2.0,0.8038740158081055,0.65,251.0,5,right,1,0,2.0,500.0,0.05,3.0,0.01,90.0,up,1.854299783706665,1.0
1_2,1,2,8,45,151018,2018-10-18-17-38-09,2018-10-18-17-43-57,60,90,1.5,6,dotMotionDST,dotMotionDST,180,10800,1,348.8879768848419,right,2.0,0.45357489585876465,0.55,251.0,6,right,1,0,2.0,500.0,0.05,3.0,0.01,180.0,down,2.5876758098602295,0.0
0_1,1,0,8,45,151018,2018-10-18-17-38-09,2018-10-18-17-44-06,60,90,1.5,7,dotMotionDST,dotMotionDST,180,10800,1,357.405152797699,left,1.0,0.7536067962646484,0.55,251.0,7,left,1,0,1.0,100.0,0.05,3.0,0.01,270.0,down,2.051861047744751,1.0
0_1,1,0,8,45,151018,2018-10-18-17-38-09,2018-10-18-17-44-14,60,90,1.5,8,dotMotionDST,dotMotionDST,180,10800,1,365.4063959121704,left,1.0,0.5531139373779297,0.4,251.0,8,left,1,0,1.0,100.0,0.05,3.0,0.01,180.0,left,1.2507920265197754,1.0
0_1,1,0,8,45,151018,2018-10-18-17-38-09,2018-10-18-17-44-21,60,90,1.5,9,dotMotionDST,dotMotionDST,180,10800,1,372.6902048587799,left,1.0,0.5844519138336182,0.4,251.0,9,left,1,0,1.0,100.0,0.05,3.0,0.01,0.0,right,1.2212262153625488,1.0
1_2,1,2,8,45,151018,2018-10-18-17-38-09,2018-10-18-17-44-29,60,90,1.5,10,dotMotionDST,dotMotionDST,180,10800,1,380.00782585144043,right,2.0,0.6842160224914551,0.5,251.0,10,right,1,0,2.0,500.0,0.05,3.0,0.01,0.0,up,3.837718963623047,0.0
0_2,2,0,8,45,151018,2018-10-18-17-38-09,2018-10-18-17-44-38,60,90,1.5,11,dotMotionDST,dotMotionDST,180,10800,1,389.87500977516174,left,2.0,0.6537449359893799,0.4,251.0,11,left,1,0,2.0,500.0,0.05,3.0,0.01,90.0,up,1.8517041206359863,1.0
0_2,2,0,8,45,151018,2018-10-18-17-38-09,2018-10-18-17-44-47,60,90,1.5,12,dotMotionDST,dotMotionDST,180,10800,1,398.62528800964355,left,2.0,1.6177310943603516,0.45,251.0,12,left,1,0,2.0,500.0,0.05,3.0,0.01,180.0,down,3.0361530780792236,0.0
1_2,1,2,8,45,151018,2018-10-18-17-38-09,2018-10-18-17-44-58,60,90,1.5,13,dotMotionDST,dotMotionDST,180,10800,1,409.05961298942566,right,2.0,2.217895984649658,0.55,251.0,13,right,1,0,2.0,500.0,0.05,3.0,0.01,180.0,down,3.384606122970581,0.0
0_2,2,0,8,45,151018,2018-10-18-17-38-09,2018-10-18-17-45-07,60,90,1.5,14,dotMotionDST,dotMotionDST,180,10800,1,418.5942847728729,left,2.0,0.8502299785614014,0.5,251.0,14,left,1,0,2.0,500.0,0.05,3.0,0.01,270.0,down,1.4862849712371826,1.0
1_2,1,2,8,45,151018,2018-10-18-17-38-09,2018-10-18-17-45-15,60,90,1.5,15,dotMotionDST,dotMotionDST,180,10800,1,426.01162099838257,right,2.0,0.6848227977752686,0.6,251.0,15,right,1,0,2.0,500.0,0.05,3.0,0.01,180.0,down,2.985560894012451,0.0
1_2,1,2,8,45,151018,2018-10-18-17-38-09,2018-10-18-17-45-23,60,90,1.5,16,dotMotionDST,dotMotionDST,180,10800,1,434.81311297416687,right,2.0,0.8029091358184814,0.65,251.0,16,right,1,0,2.0,500.0,0.05,3.0,0.01,270.0,down,2.0011050701141357,1.0
0_1,1,0,8,45,151018,2018-10-18-17-38-09,2018-10-18-17-45-34,60,90,1.5,17,dotMotionDST,dotMotionDST,180,10800,1,444.9973258972168,,,,0.6,,17,,0,0,,,,,,,,,
1_2,1,2,8,45,151018,2018-10-18-17-38-09,2018-10-18-17-45-38,60,90,1.5,18,dotMotionDST,dotMotionDST,180,10800,1,449.2968599796295,right,2.0,1.1669681072235107,0.85,251.0,18,right,1,0,2.0,500.0,0.05,3.0,0.01,90.0,up,2.2678110599517822,1.0
