acc,age,blockNumber,blockType,coherence,creditsEarned,dotDirections,dotFrames,effortLevel,elapsedTime,endTime,fixationFrames,fixationS,iti,keypress,nDots,overallTrialNum,participant,ratingConfidence_questionText,ratingConfidence_resp,ratingConfidence_rt,ratingEffort_questionText,ratingEffort_resp,ratingEffort_rt,refreshRate,resp,responseTTL,rt,scriptDate,speed,startTime,targetFrames,targetS,task,trialNo
0,27,1,dotMotionForced,0.05,0,270,3.0,2,70.3009901046753,2018-10-18-11-15-10,90,1.5,0.45,,500.0,1,57,,,,,,,60,,,,151018,0.01,2018-10-18-11-14-00,180,10800,dotMotionForced,1
0,27,1,dotMotionForced,0.05,0,270,3.0,1,75.13396096229553,2018-10-18-11-15-15,90,1.5,0.4,up,100.0,2,57,How confident are you?,5,1.9034090042114258,How much effort did it require?,3,1.9392931461334229,60,up,250.0,1.8184890747070312,151018,0.01,2018-10-18-11-14-00,180,10800,dotMotionForced,2
0,27,1,dotMotionForced,0.05,0,270,3.0,1,86.41912007331848,2018-10-18-11-15-26,90,1.5,0.9,,100.0,1,57,,,,,,,60,,,,151018,0.01,2018-10-18-11-14-00,180,10800,dotMotionForced,3
0,27,1,dotMotionForced,0.05,0,0,3.0,1,91.66934394836426,2018-10-18-11-15-31,90,1.5,0.65,up,100.0,1,57,How confident are you?,3,1.7522170543670654,How much effort did it require?,7,2.0399630069732666,60,up,250.0,1.817188024520874,151018,0.01,2018-10-18-11-14-00,180,10800,dotMotionForced,4
0,27,1,dotMotionForced,0.05,0,270,3.0,2,102.41957211494446,2018-10-18-11-15-42,90,1.5,0.75,up,500.0,1,57,How confident are you?,5,1.118769884109497,How much effort did it require?,9,3.0179100036621094,60,up,250.0,2.083950996398926,151018,0.01,2018-10-18-11-14-00,180,10800,dotMotionForced,5
0,27,1,dotMotionForced,0.05,0,270,3.0,0,114.27120113372803,2018-10-18-11-15-54,90,1.5,0.7,,10.0,1,57,,,,,,,60,,,,151018,0.01,2018-10-18-11-14-00,180,10800,dotMotionForced,6
1,27,1,dotMotionForced,0.05,0,180,3.0,2,119.27211594581604,2018-10-18-11-15-59,90,1.5,0.5,left,500.0,1,57,How confident are you?,3,1.1047940254211426,How much effort did it require?,6,1.251708984375,60,left,251.0,1.750593900680542,151018,0.01,2018-10-18-11-14-00,180,10800,dotMotionForced,7
0,27,1,dotMotionForced,0.05,0,90,3.0,2,128.37291812896729,2018-10-18-11-16-08,90,1.5,0.6,down,500.0,1,57,How confident are you?,6,1.4206688404083252,How much effort did it require?,8,1.5180068016052246,60,down,250.0,1.9507489204406738,151018,0.01,2018-10-18-11-14-00,180,10800,dotMotionForced,8
0,27,1,dotMotionForced,0.05,0,90,3.0,1,137.92294812202454,2018-10-18-11-16-18,90,1.5,0.45,left,100.0,1,57,How confident are you?,4,1.7841241359710693,How much effort did it require?,7,1.6029679775238037,60,left,250.0,2.0190160274505615,151018,0.01,2018-10-18-11-14-00,180,10800,dotMotionForced,9
1,27,1,dotMotionForced,0.05,0,180,3.0,0,147.47419714927673,2018-10-18-11-16-27,90,1.5,0.75,left,10.0,1,57,How confident are you?,6,1.8863639831542969,How much effort did it require?,5,3.016197919845581,60,left,251.0,1.5179779529571533,151018,0.01,2018-10-18-11-14-00,180,10800,dotMotionForced,10
0,27,1,dotMotionForced,0.05,0,180,3.0,1,159.64258909225464,2018-10-18-11-16-39,90,1.5,0.4,right,100.0,1,57,How confident are you?,5,1.635895013809204,How much effort did it require?,6,1.6883440017700195,60,right,250.0,2.3853328227996826,151018,0.01,2018-10-18-11-14-00,180,10800,dotMotionForced,11
1,27,1,dotMotionForced,0.05,0,0,3.0,0,169.64309096336365,2018-10-18-11-16-49,90,1.5,0.7,right,10.0,1,57,How confident are you?,5,3.4058589935302734,How much effort did it require?,6,1.220776081085205,60,right,251.0,2.318596124649048,151018,0.01,2018-10-18-11-14-00,180,10800,dotMotionForced,12
0,27,1,dotMotionForced,0.05,0,270,3.0,0,181.127454996109,2018-10-18-11-17-01,90,1.5,0.5,right,10.0,1,57,How confident are you?,5,0.8184821605682373,How much effort did it require?,6,0.3397090435028076,60,right,250.0,2.0012409687042236,151018,0.01,2018-10-18-11-14-00,180,10800,dotMotionForced,13
1,27,1,dotMotionForced,0.05,0,0,3.0,0,188.3129780292511,2018-10-18-11-17-08,90,1.5,0.55,right,10.0,1,57,How confident are you?,5,1.8367109298706055,How much effort did it require?,5,1.8002259731292725,60,right,251.0,1.2009108066558838,151018,0.01,2018-10-18-11-14-00,180,10800,dotMotionForced,14
1,27,1,dotMotionForced,0.05,0,0,3.0,2,199.37927103042603,2018-10-18-11-17-19,90,1.5,0.45,right,500.0,1,57,How confident are you?,2,1.8695130348205566,How much effort did it require?,5,1.217759132385254,60,right,251.0,2.816990852355957,151018,0.01,2018-10-18-11-14-00,180,10800,dotMotionForced,15
